ModulationOrder,SNR,PilotLength,PilotSpacing,SymbolRate,PhaseNoise,BER,CBER
4,0,2,64,30000000000,15,0.161398353,0.202950056
4,0,2,64,30000000000,20,0.166211812,0.201060661
4,0,2,64,30000000000,25,0.168840971,0.202180302
4,0,2,64,30000000000,30,0.284553943,0.200815739
4,0,2,128,1000000,0,0.160685742,0.202150935
4,0,2,128,1000000,5,0.165541081,0.212286205
4,0,2,128,1000000,10,0.181375879,0.223725224
4,0,2,128,1000000,15,0.21705163,0.263287244
4,0,2,128,1000000,20,0.299982017,0.348460478
4,0,2,128,1000000,25,0.42628077,0.466786885
4,0,2,128,1000000,30,0.499765225,0.49731258
4,0,2,128,10000000,0,0.160366049,0.19969829
4,0,2,128,10000000,5,0.16796875,0.209433943
4,0,2,128,10000000,10,0.181935342,0.207161125
4,0,2,128,10000000,15,0.216327326,0.219004755
4,0,2,128,10000000,20,0.299337636,0.255609615
4,0,2,128,10000000,25,0.427334759,0.337590913
4,0,2,128,10000000,30,0.494095668,0.447070812
4,0,2,128,30000000,0,0.160700727,0.20092711
4,0,2,128,30000000,5,0.164492088,0.206481777
4,0,2,128,30000000,10,0.178074049,0.203459679
4,0,2,128,30000000,15,0.2172914,0.207450847
4,0,2,128,30000000,20,0.295845988,0.229524656
4,0,2,128,30000000,25,0.422119765,0.278867287
4,0,2,128,30000000,30,0.490599025,0.376858216
4,0,2,128,100000000,0,0.160735694,0.199388587
4,0,2,128,100000000,5,0.164851742,0.201101942
4,0,2,128,100000000,10,0.17370824,0.200482537
4,0,2,128,100000000,15,0.218365369,0.202056026
4,0,2,128,100000000,20,0.297644262,0.208949409
4,0,2,128,100000000,25,0.43860394,0.233445892
4,0,2,128,100000000,30,0.505659567,0.287653852
4,0,2,128,300000000,0,0.160061341,0.201146899
4,0,2,128,300000000,5,0.164841752,0.201526535
4,0,2,128,300000000,10,0.170341472,0.198179747
4,0,2,128,300000000,15,0.225038963,0.202475623
4,0,2,128,300000000,20,0.277963155,0.204793398
4,0,2,128,300000000,25,0.404431746,0.207870444
4,0,2,128,300000000,30,0.47436461,0.226182864
4,0,2,128,1000000000,0,0.159142223,0.19775016
4,0,2,128,1000000000,5,0.16186461,0.19933364
4,0,2,128,1000000000,10,0.174862132,0.202205882
4,0,2,128,1000000000,15,0.246528333,0.201156889
4,0,2,128,1000000000,20,0.26819753,0.205922315
4,0,2,128,1000000000,25,0.348815137,0.20654172
4,0,2,128,1000000000,30,0.536654811,0.204703485
4,0,2,128,10000000000,0,0.158382952,0.196601263
4,0,2,128,10000000000,5,0.158512828,0.200522498
4,0,2,128,10000000000,10,0.159022339,0.198369565
4,0,2,128,10000000000,15,0.162314178,0.199018942
